Kuukausi,Indeksipisteluku
2015M01,99.54
2015M02,99.79
2015M03,100.12
2015M04,100.11
2015M05,100.03
2015M06,100.03
2015M07,99.81
2015M08,99.99
2015M09,100.13
2015M10,100.29
2015M11,100.11
2015M12,99.99
2016M01,99.57
2016M02,99.70
2016M03,100.08
2016M04,100.37
2016M05,100.34
2016M06,100.39
2016M07,100.32
2016M08,100.37
2016M09,100.54
2016M10,100.75
2016M11,100.77
2016M12,101.02
2017M01,100.41
2017M02,100.92
2017M03,100.91
2017M04,101.22
2017M05,101.06
2017M06,101.14
2017M07,100.85
2017M08,101.11
2017M09,101.32
2017M10,101.30
2017M11,101.55
2017M12,101.51
2018M01,101.21
2018M02,101.52
2018M03,101.73
2018M04,101.98
2018M05,102.09
2018M06,102.32
2018M07,102.23
2018M08,102.38
2018M09,102.60
2018M10,102.85
2018M11,102.83
2018M12,102.71
2019M01,102.31
2019M02,102.80
2019M03,102.87
2019M04,103.47
2019M05,103.29
2019M06,103.36
2019M07,103.08
2019M08,103.50
2019M09,103.54
2019M10,103.62
2019M11,103.52
2019M12,103.65
2020M01,103.32
2020M02,103.67
2020M03,103.49
2020M04,103.14
2020M05,103.12
2020M06,103.32
2020M07,103.69
2020M08,103.71
2020M09,103.71
2020M10,103.81
2020M11,103.74
2020M12,103.89
2021M01,104.24
2021M02,104.62
2021M03,104.87
2021M04,105.26
2021M05,105.42
2021M06,105.36
2021M07,105.71
2021M08,105.96
2021M09,106.29
2021M10,107.09
2021M11,107.57
2021M12,107.49
2022M01,108.80
2022M02,109.36
2022M03,110.95
2022M04,111.30
2022M05,112.76
2022M06,113.57
2022M07,113.94
2022M08,114.03
2022M09,114.92
2022M10,115.99
2022M11,117.40
2022M12,117.32
2023M01,117.99
